Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,3,Male,50,2,1,Laboratory Technician,3,Single,14.5,12947,5,Y,Yes,14,3,2,80,0,6.0,4,3,4.0,2.0,0.0,3
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,2,Female,51,4,3,Manufacturing Director,1,Divorced,14.5,10195,1,Y,No,11,3,3,80,1,10.0,1,3,10.0,9.0,8.0,8
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,Male,80,4,1,Research Scientist,2,Divorced,14.5,15053,0,Y,Yes,12,3,4,80,2,7.0,5,2,6.0,2.0,0.0,5
22,No,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,96,4,1,Laboratory Technician,4,Divorced,14.5,7324,1,Y,Yes,13,3,2,80,2,1.0,2,2,1.0,0.0,0.0,0
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,Female,78,2,4,Manager,4,Married,14.5,22021,2,Y,No,16,3,3,80,0,14.5,3,3,14.5,8.0,3.0,7
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,Male,45,3,1,Research Scientist,4,Single,14.5,4306,5,Y,Yes,11,3,3,80,0,6.0,3,3,3.0,2.0,1.0,2
24,No,Non-Travel,673,Research & Development,11,2,Other,1,Female,96,4,2,Manufacturing Director,3,Divorced,14.5,8232,0,Y,No,18,3,4,80,1,5.0,5,2,4.0,2.0,1.0,3
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,3,Male,82,2,1,Sales Representative,1,Single,14.5,6986,7,Y,No,23,4,2,80,0,10.0,4,3,5.0,3.0,0.0,3
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,Female,53,3,3,Research Director,2,Single,14.5,21293,0,Y,No,11,3,3,80,0,13.0,4,3,12.0,6.0,2.0,11
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,96,3,1,Research Scientist,4,Single,14.5,19281,1,Y,No,14,3,4,80,0,0.0,6,3,0.0,0.0,0.0,0
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,2,Male,83,3,1,Research Scientist,1,Single,14.5,17102,2,Y,No,11,3,3,80,0,8.0,2,3,4.0,2.0,1.0,3
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,3,Female,58,3,5,Manager,3,Divorced,14.5,10735,4,Y,No,11,3,4,80,1,14.5,3,2,14.0,13.0,4.0,8
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,2,Female,72,1,1,Research Scientist,1,Single,14.5,4681,1,Y,Yes,22,4,2,80,0,10.0,5,3,10.0,2.0,6.0,7
42,No,Travel_Rarely,691,Sales,8,4,Marketing,3,Male,48,3,2,Sales Executive,2,Married,14.5,21173,0,Y,No,11,3,4,80,1,10.0,2,3,9.0,7.0,4.0,2
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,Female,42,2,3,Healthcare Representative,4,Married,14.5,2094,3,Y,No,14,3,4,80,1,14.5,4,3,14.5,6.0,5.0,17
46,No,Travel_Rarely,705,Sales,2,4,Marketing,2,Female,83,3,5,Manager,1,Single,14.5,22822,3,Y,No,12,3,4,80,0,14.5,2,2,2.0,2.0,2.0,1
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,3,Male,78,3,1,Laboratory Technician,4,Single,14.5,6670,4,Y,No,11,3,4,80,0,7.0,3,3,1.0,1.0,0.0,0
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,4,Male,41,3,2,Healthcare Representative,4,Married,14.5,19121,2,Y,Yes,13,3,4,80,0,9.0,5,4,4.0,2.0,1.0,3
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,4,Male,83,2,1,Laboratory Technician,3,Single,14.5,16117,1,Y,No,13,3,1,80,0,10.0,5,3,10.0,0.0,1.0,8
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,4,Male,56,3,2,Sales Representative,4,Married,14.5,3335,3,Y,No,14,3,3,80,1,14.5,6,4,1.0,0.0,0.0,0
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,14.5,3020,2,Y,Yes,16,3,1,80,1,6.0,2,2,2.0,0.0,2.0,0
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,4,Female,72,4,1,Research Scientist,3,Divorced,14.5,21923,1,Y,No,12,3,4,80,2,6.0,3,2,5.0,3.0,1.0,4
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,Male,86,2,1,Sales Representative,3,Married,14.5,3810,1,Y,Yes,14,3,3,80,0,3.0,2,3,3.0,2.0,0.0,2
35,No,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,97,3,1,Sales Representative,4,Married,14.5,9687,1,Y,No,13,3,1,80,0,2.0,3,3,2.0,2.0,2.0,2
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,2,Female,82,2,1,Research Scientist,1,Married,14.5,13072,9,Y,Yes,14,3,4,80,1,6.0,3,4,1.0,1.0,0.0,0
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,14.5,3193,2,Y,No,19,3,1,80,2,10.0,3,3,5.0,3.0,1.0,3
35,No,Travel_Rarely,464,Research & Development,4,2,Other,3,Male,75,3,1,Laboratory Technician,4,Divorced,14.5,10910,1,Y,No,12,3,3,80,1,1.0,3,3,1.0,0.0,0.0,0
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,14.5,19715,1,Y,No,13,3,4,80,1,1.0,6,3,1.0,0.0,0.0,0
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,14.5,10558,1,Y,No,12,3,3,80,0,1.0,2,2,1.0,0.0,0.0,1
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,4,Male,37,3,3,Sales Executive,3,Single,14.5,2975,1,Y,No,15,3,4,80,0,9.0,0,3,9.0,8.0,1.0,7
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,3,Female,58,3,2,Laboratory Technician,4,Single,14.5,10781,1,Y,No,23,4,4,80,0,12.0,2,3,12.0,8.0,3.0,7
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,14.5,16280,1,Y,No,12,3,4,80,0,14.5,0,3,14.5,14.5,14.5,8
34,No,Non-Travel,1065,Sales,23,4,Marketing,2,Male,72,3,2,Sales Executive,3,Single,14.5,10034,0,Y,No,20,4,3,80,0,10.0,2,3,9.0,5.0,8.0,7
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,14.5,10227,4,Y,No,21,4,1,80,0,8.0,1,3,1.0,0.0,0.0,0
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,Male,98,3,2,Sales Executive,4,Single,14.5,20445,4,Y,Yes,21,4,3,80,0,14.0,4,3,9.0,6.0,0.0,8
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,14.5,4892,1,Y,No,19,3,4,80,0,1.0,2,3,1.0,0.0,0.0,1
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,Male,98,2,3,Laboratory Technician,3,Single,14.5,19294,9,Y,Yes,13,3,4,80,0,14.5,2,3,1.0,0.0,0.0,0
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,3,Male,50,3,1,Laboratory Technician,3,Single,14.5,11179,1,Y,Yes,13,3,3,80,0,2.0,3,2,2.0,2.0,2.0,2
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,14.5,4009,5,Y,Yes,21,4,3,80,1,9.0,2,2,4.0,3.0,1.0,3
35,No,Non-Travel,1097,Research & Development,11,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,14.5,8302,2,Y,Yes,13,3,3,80,1,10.0,3,3,4.0,0.0,2.0,3
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,3,Female,47,2,2,Sales Executive,4,Married,14.5,21436,7,Y,Yes,19,3,3,80,1,5.0,2,2,2.0,2.0,0.0,0
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,Female,98,3,3,Research Director,4,Single,14.5,15146,1,Y,Yes,12,3,3,80,0,14.5,1,3,14.5,14.0,8.0,12
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,2,Male,71,3,3,Sales Executive,1,Married,14.5,11031,1,Y,No,22,4,4,80,1,9.0,3,2,9.0,8.0,1.0,8
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,3,Female,30,3,1,Laboratory Technician,1,Married,14.5,16002,3,Y,Yes,15,3,3,80,1,4.0,3,3,2.0,2.0,2.0,2
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,4,Male,48,3,2,Laboratory Technician,4,Divorced,14.5,9528,3,Y,No,22,4,4,80,1,10.0,3,2,7.0,7.0,1.0,7
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,Male,51,2,2,Manufacturing Director,3,Divorced,14.5,2689,1,Y,No,18,3,3,80,1,7.0,2,4,7.0,5.0,0.0,7
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,14.5,10877,1,Y,Yes,22,4,2,80,1,9.0,3,3,9.0,8.0,7.0,8
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,4,Female,50,3,2,Laboratory Technician,4,Single,14.5,5456,1,Y,No,11,3,4,80,0,10.0,2,3,10.0,3.0,9.0,9
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,14.5,16701,5,Y,Yes,12,3,4,80,1,14.5,2,2,14.5,3.0,13.0,8
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,Female,99,3,3,Sales Executive,1,Single,14.5,2354,7,Y,No,11,3,4,80,0,14.5,3,2,14.5,14.5,7.0,9
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,3,Female,59,3,3,Healthcare Representative,3,Divorced,14.5,8202,1,Y,No,13,3,2,80,3,14.5,2,3,14.5,14.0,12.0,8
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,4,Female,33,3,4,Manager,3,Divorced,14.5,19730,2,Y,Yes,14,3,3,80,3,14.5,2,3,5.0,0.0,0.0,2
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,2,Male,95,2,2,Manufacturing Director,2,Single,14.5,22656,1,Y,No,13,3,3,80,0,6.0,3,3,6.0,5.0,0.0,3
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,2,Male,59,3,3,Research Scientist,1,Divorced,14.5,18787,2,Y,No,17,3,3,80,1,14.5,2,3,1.0,0.0,0.0,0
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,14.5,5868,4,Y,No,13,3,4,80,1,5.0,2,2,3.0,2.0,1.0,2
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,14.5,21777,0,Y,Yes,17,3,1,80,1,2.0,0,2,1.0,0.0,0.0,0
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,Female,57,2,2,Sales Executive,3,Single,14.5,24668,7,Y,No,11,3,4,80,0,14.5,2,2,4.0,3.0,1.0,3
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,3,Male,76,3,1,Research Scientist,2,Married,14.5,4956,0,Y,No,23,4,4,80,1,6.0,3,3,5.0,4.0,0.0,4
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,3,Male,87,3,1,Research Scientist,2,Single,14.5,18775,1,Y,No,17,3,2,80,0,1.0,4,3,1.0,1.0,1.0,0
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,2,Male,66,3,2,Research Scientist,2,Married,14.5,7346,1,Y,No,17,3,2,80,2,10.0,3,3,10.0,4.0,0.0,9
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,2,Female,55,4,1,Laboratory Technician,4,Married,14.5,22002,3,Y,No,12,3,2,80,0,5.0,3,3,1.0,0.0,0.0,0
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,3,Female,61,3,2,Manufacturing Director,4,Single,14.5,20682,1,Y,No,23,4,4,80,0,11.0,2,3,11.0,7.0,1.0,8
35,No,Travel_Rarely,776,Sales,1,4,Marketing,3,Male,32,2,2,Sales Executive,1,Single,14.5,23016,0,Y,No,14,3,2,80,0,14.5,2,3,14.5,13.0,2.0,8
45,No,Travel_Rarely,193,Research & Development,6,4,Other,4,Male,52,3,3,Research Director,1,Married,14.5,15067,4,Y,Yes,14,3,2,80,0,14.5,3,4,0.0,0.0,0.0,0
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,1,Male,30,3,3,Research Director,3,Single,14.5,25258,4,Y,No,13,3,1,80,0,14.5,3,4,5.0,2.0,0.0,2
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,2,Male,80,3,2,Human Resources,2,Divorced,14.5,10425,8,Y,Yes,22,4,4,80,1,14.5,2,3,4.0,2.0,0.0,2
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,4,Male,55,2,2,Laboratory Technician,4,Married,14.5,15998,1,Y,Yes,12,3,3,80,2,10.0,1,2,10.0,8.0,3.0,0
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,2,Male,30,2,1,Research Scientist,3,Single,14.5,26278,1,Y,No,18,3,1,80,0,6.0,3,3,6.0,4.0,0.0,4
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,14.5,18092,3,Y,No,14,3,4,80,1,14.5,4,3,1.0,0.0,1.0,0
38,No,Non-Travel,573,Research & Development,6,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,14.5,15717,7,Y,Yes,12,3,4,80,3,14.5,3,3,13.0,11.0,1.0,9
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,1,Male,94,3,2,Manufacturing Director,2,Married,14.5,17736,1,Y,No,15,3,3,80,0,5.0,2,3,5.0,2.0,1.0,3
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,4,Male,49,1,3,Manufacturing Director,4,Single,14.5,21698,4,Y,No,11,3,1,80,0,14.5,3,2,6.0,4.0,0.0,2
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,3,Male,62,3,1,Sales Representative,1,Divorced,14.5,9518,3,Y,No,13,3,3,80,1,3.0,3,3,0.0,0.0,0.0,0
51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,4,Male,96,3,1,Laboratory Technician,4,Married,14.5,18725,3,Y,No,23,4,2,80,2,10.0,4,3,4.0,2.0,0.0,3
30,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,3,Male,99,2,2,Healthcare Representative,4,Married,14.5,15830,1,Y,No,19,3,1,80,3,11.0,3,3,11.0,10.0,10.0,8
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,3,Male,64,2,3,Sales Executive,4,Single,14.5,13596,1,Y,No,16,3,4,80,0,9.0,3,3,9.0,8.0,4.0,7
40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,3,Male,78,2,4,Healthcare Representative,2,Married,14.5,14115,1,Y,No,22,4,4,80,1,14.5,3,2,14.5,3.0,11.0,11
51,No,Travel_Rarely,632,Sales,21,4,Marketing,3,Male,71,3,2,Sales Executive,4,Single,14.5,8423,0,Y,Yes,22,4,4,80,0,11.0,2,1,10.0,7.0,1.0,0
30,No,Travel_Rarely,1334,Sales,4,2,Medical,3,Female,63,2,2,Sales Executive,2,Divorced,14.5,19760,1,Y,Yes,12,3,2,80,3,11.0,4,2,11.0,8.0,2.0,7
46,No,Travel_Frequently,638,Research & Development,1,3,Medical,3,Male,40,2,3,Healthcare Representative,1,Married,14.5,3142,2,Y,Yes,13,3,3,80,1,14.5,5,2,10.0,9.0,9.0,5
32,No,Travel_Rarely,1093,Sales,6,4,Medical,2,Male,87,3,2,Sales Executive,3,Single,14.5,24301,1,Y,No,16,3,1,80,0,12.0,0,3,11.0,8.0,5.0,7
54,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,Female,60,3,3,Research Director,3,Married,14.5,24001,9,Y,No,12,3,1,80,1,14.5,5,1,4.0,3.0,0.0,3
24,No,Travel_Rarely,1353,Sales,3,2,Other,1,Female,33,3,2,Sales Executive,3,Married,14.5,17519,0,Y,No,21,4,1,80,1,4.0,2,2,3.0,2.0,0.0,2
28,No,Non-Travel,120,Sales,4,3,Medical,2,Male,43,3,2,Sales Executive,3,Married,14.5,8863,1,Y,No,15,3,2,80,0,5.0,3,4,5.0,4.0,0.0,4
58,No,Travel_Rarely,682,Sales,10,4,Medical,4,Male,37,3,4,Sales Executive,3,Single,14.5,24409,0,Y,No,13,3,3,80,0,14.5,1,2,14.5,10.0,1.0,8
44,No,Non-Travel,489,Research & Development,23,3,Medical,2,Male,67,3,2,Laboratory Technician,2,Married,14.5,25043,4,Y,No,12,3,3,80,1,14.5,3,4,3.0,2.0,1.0,2
37,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,3,Male,63,3,1,Human Resources,1,Divorced,14.5,23648,4,Y,Yes,22,4,4,80,0,7.0,3,3,3.0,2.0,0.0,2
32,No,Travel_Rarely,827,Research & Development,1,1,Life Sciences,4,Male,71,3,1,Research Scientist,1,Single,14.5,15178,1,Y,No,13,3,4,80,0,1.0,2,3,1.0,0.0,0.0,0
20,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,4,Female,66,2,1,Laboratory Technician,4,Single,14.5,19783,1,Y,Yes,18,3,2,80,0,1.0,5,3,1.0,0.0,1.0,0
34,No,Travel_Rarely,665,Research & Development,6,4,Other,1,Female,41,3,2,Research Scientist,3,Single,14.5,12482,1,Y,No,14,3,3,80,0,14.5,3,3,14.5,13.0,2.0,10
37,No,Non-Travel,1040,Research & Development,2,2,Life Sciences,3,Male,100,2,2,Healthcare Representative,4,Divorced,14.5,15850,5,Y,No,14,3,4,80,1,14.5,2,4,1.0,0.0,0.0,0
59,No,Non-Travel,1420,Human Resources,2,4,Human Resources,3,Female,32,2,5,Manager,4,Married,14.5,21922,9,Y,No,21,4,4,80,1,14.5,3,3,3.0,2.0,2.0,2
50,No,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,Female,73,3,5,Research Director,2,Married,14.5,9755,3,Y,Yes,19,3,1,80,0,14.5,1,2,8.0,3.0,0.0,7
25,Yes,Travel_Rarely,240,Sales,5,3,Marketing,3,Male,46,2,2,Sales Executive,3,Single,14.5,26959,1,Y,Yes,11,3,4,80,0,6.0,1,3,6.0,4.0,0.0,3
25,No,Travel_Rarely,1280,Research & Development,7,1,Medical,4,Male,64,2,1,Research Scientist,4,Married,14.5,26897,1,Y,No,11,3,3,80,2,2.0,2,3,2.0,2.0,2.0,1
22,No,Travel_Rarely,534,Research & Development,15,3,Medical,2,Female,59,3,1,Laboratory Technician,4,Single,14.5,23785,1,Y,No,15,3,3,80,0,1.0,5,3,0.0,0.0,0.0,0
51,No,Travel_Frequently,1456,Research & Development,1,4,Medical,1,Female,30,2,3,Healthcare Representative,1,Single,14.5,25796,3,Y,No,20,4,3,80,0,14.5,1,2,13.0,12.0,12.0,8
34,Yes,Travel_Frequently,658,Research & Development,7,3,Life Sciences,1,Male,66,1,2,Laboratory Technician,3,Single,14.5,22887,1,Y,Yes,24,4,4,80,0,9.0,3,3,9.0,7.0,0.0,6
54,No,Non-Travel,142,Human Resources,26,3,Human Resources,4,Female,30,4,4,Manager,4,Single,14.5,13871,2,Y,Yes,12,3,3,80,0,14.5,3,3,5.0,3.0,4.0,4
24,No,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,2,Male,52,3,1,Laboratory Technician,3,Married,14.5,13257,0,Y,No,12,3,3,80,1,6.0,2,3,5.0,3.0,1.0,2
34,No,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,3,Female,45,2,2,Research Scientist,2,Divorced,14.5,15000,6,Y,No,15,3,3,80,1,12.0,3,3,1.0,0.0,0.0,0
37,No,Travel_Rarely,1189,Sales,3,3,Life Sciences,3,Male,87,3,3,Sales Executive,4,Single,14.5,14506,2,Y,No,12,3,1,80,0,12.0,3,3,5.0,3.0,1.0,3
34,No,Travel_Rarely,1354,Research & Development,5,3,Medical,3,Female,45,2,3,Manager,1,Single,14.5,5615,2,Y,No,12,3,4,80,0,14.0,6,3,11.0,10.0,5.0,8
36,No,Travel_Frequently,1467,Sales,11,2,Technical Degree,2,Female,92,3,3,Sales Executive,4,Married,14.5,22952,0,Y,No,14,3,3,80,1,10.0,6,3,9.0,7.0,2.0,8
36,No,Travel_Rarely,922,Research & Development,3,2,Life Sciences,1,Female,39,3,1,Laboratory Technician,4,Divorced,14.5,2561,5,Y,No,22,4,1,80,1,7.0,2,3,1.0,0.0,0.0,0
43,No,Travel_Frequently,394,Sales,26,2,Life Sciences,3,Male,92,3,4,Manager,4,Married,14.5,19494,1,Y,Yes,12,3,4,80,2,14.5,3,4,14.5,12.0,4.0,12
30,No,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,1,Male,96,1,1,Research Scientist,3,Divorced,14.5,22310,1,Y,No,25,4,3,80,3,10.0,2,2,10.0,7.0,0.0,9
33,No,Non-Travel,750,Sales,22,2,Marketing,3,Male,95,3,2,Sales Executive,2,Married,14.5,15480,0,Y,No,13,3,1,80,1,8.0,2,4,7.0,7.0,0.0,7
56,Yes,Travel_Rarely,441,Research & Development,14,4,Life Sciences,2,Female,72,3,1,Research Scientist,2,Married,14.5,4510,9,Y,Yes,18,3,1,80,3,7.0,2,3,5.0,4.0,4.0,3
51,No,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,Male,51,3,5,Research Director,3,Single,14.5,6462,7,Y,No,13,3,3,80,0,14.5,5,3,14.5,14.5,14.5,15
31,Yes,Travel_Rarely,249,Sales,6,4,Life Sciences,2,Male,76,1,2,Sales Executive,3,Married,14.5,20739,4,Y,Yes,18,3,2,80,0,12.0,3,2,7.0,7.0,7.0,7
26,No,Travel_Rarely,841,Research & Development,6,3,Other,3,Female,46,2,1,Research Scientist,2,Married,14.5,23300,1,Y,No,19,3,3,80,0,5.0,3,2,5.0,4.0,4.0,3
58,Yes,Travel_Rarely,147,Research & Development,23,4,Medical,4,Female,94,3,3,Healthcare Representative,4,Married,14.5,3465,1,Y,No,12,3,4,80,1,14.5,3,2,14.5,10.0,14.5,6
19,Yes,Travel_Rarely,528,Sales,22,1,Marketing,4,Male,50,3,1,Sales Representative,3,Single,14.5,26820,1,Y,Yes,19,3,4,80,0,0.0,2,2,0.0,0.0,0.0,0
22,No,Travel_Rarely,594,Research & Development,2,1,Technical Degree,3,Male,100,3,1,Laboratory Technician,4,Married,14.5,19299,0,Y,No,14,3,3,80,1,3.0,2,3,2.0,1.0,2.0,1
49,No,Travel_Rarely,470,Research & Development,20,4,Medical,3,Female,96,3,2,Manufacturing Director,1,Married,14.5,5549,1,Y,No,14,3,3,80,0,14.5,2,2,14.5,11.0,5.0,11
43,No,Travel_Frequently,957,Research & Development,28,3,Medical,2,Female,72,4,1,Research Scientist,3,Single,14.5,16090,4,Y,No,12,3,4,80,0,14.5,2,3,3.0,2.0,1.0,2
50,No,Travel_Frequently,809,Sales,12,3,Marketing,3,Female,77,3,3,Sales Executive,4,Single,14.5,6645,4,Y,No,11,3,4,80,0,14.5,3,3,2.0,2.0,2.0,1
31,Yes,Travel_Rarely,542,Sales,20,3,Life Sciences,2,Female,71,1,2,Sales Executive,3,Married,14.5,24788,3,Y,Yes,11,3,3,80,1,4.0,2,3,2.0,2.0,2.0,2
